#2kb-http 2kb-quic 4kb-http 4kb-quic 8kb-http 8kb-quic 16kb-http 16kb-quic 32kb-http 32kb-quic 64kb-http 64kb-quic 128kb-http 128kb-quic 256kb-http 256kb-quic 512kb-http 512kb-quic
3344165.274031337 280640.8461591307 269533.69485516456 301906.00621244183 403222.7127026401 323423.2796580838 341156.1629830204 303812.67496456107 232311.63616417593 240660.76703494333 264039.6424904598 271724.3606875966 259151.93824485733 261933.39352451495 313263.57114948897 280825.46836796636 257712.3658140156 264627.4783693503
3663428.7492004456 381557.4648867794 403858.7602338957 376519.68421050406 404153.0503222747 350386.6757911533 273853.51420042815 240797.43395298658 240813.88320610923 237376.51285485254 312685.16566140077 319468.32377208176 251400.23178910185 252957.31284211308 269916.97618768614 280073.4471138988 319079.06747084163 323417.38931677485
3456488.032202428 324984.54477475904 326147.79873781523 326617.348906636 325135.3420372438 259937.5838229654 264452.4094049234 240938.6043446985 268463.20370887505 277617.54551796254 262591.85301521973 283408.80419521633 253682.8355334205 256357.77136648662 316965.67720628023 302472.7319175001 336472.6395280075 337896.4537208443
3248206.8224875 326346.8447233223 338514.6768728545 355490.82875641494 336562.32483837625 308815.821026461 307425.9259047176 273095.7714220485 317312.96503693465 328686.8748676873 253449.84416961437 266563.98205686384 313277.73588858714 317305.94724006264 321695.9165393171 299351.6331169843 299909.65645101864 306064.20909689175
3515527.8723017946 375290.1396319629 399555.2265970954 394149.4976284621 399771.77709082846 300850.0847570648 364041.0520061519 322371.2597939703 263519.50551652897 266269.16503474396 252058.5438489544 263871.2326532623 208006.235893372 210060.31382557488 307847.7341172892 337420.03653131565 294693.7748246142 306856.0747759282
3409637.698828729 380452.47763159196 444765.3422630149 388394.95090672665 470746.3180210566 351987.02297201724 356657.92936102557 321734.02483971004 262450.1718200896 273167.60539057164 247956.1051897204 253580.96949706043 314414.3496531829 317710.33967871853 309849.9065448419 298446.98297378386 248313.19392317437 250043.395087202
3379104.581323229 458051.8613230453 424743.8927217673 434873.72843495524 446806.2525207091 310548.7155559053 304270.527430437 273300.0829714894 259483.3145885293 270281.62025603896 251528.22719288114 255855.04758992238 286623.71723818814 289074.9520935905 275346.2267446492 326876.83025875693 266159.55689716124 268758.1881554472
3435508.8898371705 221589.71534040535 364343.0499030335 355216.9813673506 381800.0173261015 295164.11766534095 269636.8248139017 263546.87804211315 248018.70742165454 251876.23749075853 311041.83634783904 316779.03578015155 263664.18716702686 260200.49766636075 270233.9138907174 253713.5359412573 298201.65706249845 298554.10133136896
3339232.8396078553 381142.3332413128 368200.83684538276 356376.1282469178 383716.6824341776 286478.60072354483 298982.44048059784 273463.7522377676 245561.13946909874 256081.5766986745 205842.20844069606 253778.17681409954 313316.6124599269 322562.94942261436 320667.3388401768 324204.41938759014 287741.42298641225 300576.5104581412
3681300.6555768615 319258.8055863087 362810.2672643483 357851.16647810536 383699.175462759 298141.5877076397 288642.7653123827 260522.9787994711 251609.50737398834 262231.561028997 310897.70878479845 216216.4834914245 304356.59501729277 291755.1095860187 306945.172416819 306631.1619926366 308715.809900073 303817.65284700255
